Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2853000.0
Otras inversiones a corto plazo,9837000.0
Caja total,12690000.0
Cuentas pendientes netas,11177000.0
Inventario,10189000.0
Otros activos circulantes,5299000.0
Activos corrientes totales,43333000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",34985000.0
Depreciación acumulada,16045000.0
"Propiedad neta, planta y equipo",18940000.0
Acciones y otras inversiones,15368000.0
Valor llave,67783000.0
Activos intangibles,64900000.0
Otros activos a largo plazo,12471000.0
Total de activos no corrientes,183168000.0
Activos totales,226501000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,10346000.0
Cuentas a pagar,6710000.0
Impuestos que se deben pagar,2349000.0
Ingresos diferidos,2700000.0
Otros pasivos circulantes,20541000.0
Pasivos circulantes totales,47794000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,60499000.0
Obligaciones de impuestos diferidas,640000.0
Otras obligaciones a largo plazo,16540000.0
Total de obligaciones no corrientes,89419000.0
Pasivos totales,137213000.0
Patrimonio neto,0.0
Acción ordinaria,478000.0
Ganancias retenidas,118353000.0
Otro ingreso integral acumulado,7961000.0
Total de patrimonio neto de los accionistas,89014000.0
Total de obligaciones y capital de los accionistas,226501000.0
